gameid,date,league,teamname,result,side,participantid,playoffs,year,series_id
LOLTMNT02_23175,2024-01-19 08:09:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-01-19_Hanwha Life Esports
LOLTMNT02_23223,2024-01-19 09:02:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-01-19_Hanwha Life Esports
LOLTMNT02_26436,2024-01-21 06:09:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-01-21_Hanwha Life Esports
LOLTMNT02_25456,2024-01-21 07:08:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-01-21_Hanwha Life Esports
LOLTMNT02_29043,2024-01-24 08:06:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-01-24_Hanwha Life Esports
LOLTMNT02_29074,2024-01-24 09:00:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-01-24_Hanwha Life Esports
LOLTMNT02_33526,2024-01-28 09:43:00,LCK,Hanwha Life Esports,0,Blue,100,0,2024,LCK_2024-01-28_Hanwha Life Esports
LOLTMNT02_34511,2024-01-28 10:40:00,LCK,Hanwha Life Esports,0,Blue,100,0,2024,LCK_2024-01-28_Hanwha Life Esports
LOLTMNT02_42068,2024-02-02 10:37:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-02-02_Hanwha Life Esports
LOLTMNT02_41061,2024-02-02 11:28:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-02-02_Hanwha Life Esports
LOLTMNT02_42257,2024-02-04 06:05:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-02-04_Hanwha Life Esports
LOLTMNT02_41262,2024-02-04 06:52:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-02-04_Hanwha Life Esports
LOLTMNT02_42258,2024-02-04 07:51:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-02-04_Hanwha Life Esports
LOLTMNT01_57117,2024-02-15 10:40:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-02-15_Hanwha Life Esports
LOLTMNT01_57141,2024-02-15 11:27:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-02-15_Hanwha Life Esports
LOLTMNT01_58454,2024-02-17 06:07:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-02-17_Hanwha Life Esports
LOLTMNT01_58466,2024-02-17 06:53:00,LCK,Hanwha Life Esports,0,Blue,100,0,2024,LCK_2024-02-17_Hanwha Life Esports
LOLTMNT02_52146,2024-02-21 11:36:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-02-21_Hanwha Life Esports
LOLTMNT02_53024,2024-02-21 12:54:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-02-21_Hanwha Life Esports
LOLTMNT02_54309,2024-02-23 11:49:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-02-23_Hanwha Life Esports
LOLTMNT02_54335,2024-02-23 12:37:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-02-23_Hanwha Life Esports
LOLTMNT02_61503,2024-03-01 06:13:00,LCK,Hanwha Life Esports,0,Blue,100,0,2024,LCK_2024-03-01_Hanwha Life Esports
LOLTMNT02_61525,2024-03-01 07:10:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-03-01_Hanwha Life Esports
LOLTMNT02_61530,2024-03-01 08:13:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-01_Hanwha Life Esports
LOLTMNT02_63419,2024-03-03 08:03:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-03_Hanwha Life Esports
LOLTMNT02_63428,2024-03-03 08:54:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-03_Hanwha Life Esports
LOLTMNT03_48296,2024-03-06 08:29:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-03-06_Hanwha Life Esports
LOLTMNT03_48298,2024-03-06 09:20:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-03-06_Hanwha Life Esports
LOLTMNT03_50149,2024-03-08 05:14:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-08_Hanwha Life Esports
LOLTMNT03_50154,2024-03-08 06:01:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-08_Hanwha Life Esports
LOLTMNT03_52759,2024-03-13 08:04:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-03-13_Hanwha Life Esports
LOLTMNT03_52764,2024-03-13 08:53:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-03-13_Hanwha Life Esports
LOLTMNT03_52770,2024-03-13 09:55:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-03-13_Hanwha Life Esports
LOLTMNT03_55307,2024-03-15 10:35:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-15_Hanwha Life Esports
LOLTMNT03_55310,2024-03-15 11:26:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-03-15_Hanwha Life Esports
LOLTMNT03_55313,2024-03-15 12:20:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-03-15_Hanwha Life Esports
LOLTMNT01_73507,2024-03-21 08:05:00,LCK,Hanwha Life Esports,0,Red,200,0,2024,LCK_2024-03-21_Hanwha Life Esports
LOLTMNT01_73526,2024-03-21 09:07:00,LCK,Hanwha Life Esports,1,Blue,100,0,2024,LCK_2024-03-21_Hanwha Life Esports
LOLTMNT01_74146,2024-03-21 09:59:00,LCK,Hanwha Life Esports,1,Red,200,0,2024,LCK_2024-03-21_Hanwha Life Esports
